id,russian,transliteration,english,island,notes
1,Привет.,Privet.,Hi.,greetings_basics,Informal hi
2,Здравствуйте.,Zdravstvuyte.,Hello.,greetings_basics,Formal/polite
3,Как дела?,Kak dela?,How are you?,greetings_basics,
4,Всё хорошо. А у тебя?,Vsyo khorosho. A u tebya?,All good. And you?,greetings_basics,
5,Спасибо большое.,Spasibo bolshoye.,Thank you very much.,greetings_basics,
6,Пожалуйста.,Pozhaluysta.,Please. / You're welcome.,greetings_basics,
7,Извини.,Izvini.,Sorry.,greetings_basics,Informal
8,Извините.,Izvinite.,Excuse me / sorry.,greetings_basics,Polite
9,Да.,Da.,Yes.,greetings_basics,
10,Нет.,Nyet.,No.,greetings_basics,
11,До свидания.,Do svidaniya.,Goodbye.,greetings_basics,
12,Пока.,Poka.,Bye.,greetings_basics,Informal
13,Доброе утро.,Dobroye utro.,Good morning.,greetings_basics,
14,Спокойной ночи.,Spokoynoy nochi.,Good night.,greetings_basics,
15,Рад познакомиться.,Rad poznakomitsya.,Nice to meet you.,greetings_basics,Male speaker
16,Меня зовут Юсеф.,Menya zovut Yusef.,My name is Yusef.,self_intro,Replace with your name
17,Мне двадцать четыре года.,Mne dvadtsat chetyre goda.,I'm 24 years old.,self_intro,
18,Я из Марокко.,Ya iz Marokko.,I'm from Morocco.,self_intro,
19,Я марокканец.,Ya marokkanets.,I'm Moroccan.,self_intro,
20,Я говорю по-арабски и по-английски.,Ya govoryu po-arabski i po-angliyski.,I speak Arabic and English.,self_intro,
21,Я немного говорю по-французски.,Ya nemnogo govoryu po-frantsuzski.,I speak a little French.,self_intro,
22,Я только начал учить русский.,Ya tolko nachal uchit russkiy.,I just started learning Russian.,self_intro,
23,Я учу русский шесть дней.,Ya uchu russkiy shest dney.,I've been learning Russian for six days.,self_intro,
24,Я программист.,Ya programmist.,I'm a programmer.,self_intro,
25,Я разработчик.,Ya razrabotchik.,I'm a developer.,self_intro,
26,Я живу с родителями.,Ya zhivu s roditelyami.,I live with my parents.,self_intro,
27,У меня есть брат и сестра.,U menya yest brat i sestra.,I have a brother and a sister.,self_intro,Adjust to your siblings
28,Скажи помедленнее пожалуйста.,Skazhi pomedlenneye pozhaluysta.,Say it slower please.,self_intro,
29,Я не понимаю.,Ya ne ponimayu.,I don't understand.,self_intro,
30,Повтори пожалуйста.,Povtori pozhaluysta.,Repeat please.,self_intro,
31,Один.,Odin.,One.,numbers_time,
32,Два.,Dva.,Two.,numbers_time,
33,Три.,Tri.,Three.,numbers_time,
34,Четыре.,Chetyre.,Four.,numbers_time,
35,Пять.,Pyat.,Five.,numbers_time,
36,Десять.,Desyat.,Ten.,numbers_time,
37,Сто.,Sto.,One hundred.,numbers_time,
38,Тысяча.,Tysyacha.,One thousand.,numbers_time,
39,Сколько времени?,Skolko vremeni?,What time is it?,numbers_time,
40,Сейчас три часа.,Seychas tri chasa.,It's three o'clock now.,numbers_time,
41,Сегодня понедельник.,Sevodnya ponedelnik.,Today is Monday.,numbers_time,
42,Завтра.,Zavtra.,Tomorrow.,numbers_time,
43,Вчера.,Vchera.,Yesterday.,numbers_time,
44,На этой неделе.,Na etoy nedele.,This week.,numbers_time,
45,В следующем месяце.,V sleduyushchem mesyatse.,Next month.,numbers_time,
46,Мой отец работает.,Moy otets rabotayet.,My dad works.,family,
47,Моя мама дома.,Moya mama doma.,My mom is home.,family,
48,У меня большая семья.,U menya bolshaya semya.,I have a big family.,family,
49,Я люблю свою семью.,Ya lyublyu svoyu semyu.,I love my family.,family,
50,Мой брат старше меня.,Moy brat starshe menya.,My brother is older than me.,family,
51,Моя сестра младше.,Moya sestra mladshe.,My sister is younger.,family,
52,Мы часто едим вместе.,My chasto yedim vmeste.,We often eat together.,family,
53,По вечерам мы сидим вместе.,Po vecheram my sidim vmeste.,In the evenings we sit together.,family,
54,Моя мама готовит лучше всех.,Moya mama gotovit luchshe vsekh.,My mom cooks the best.,family,
55,Я близок с родителями.,Ya blizok s roditelyami.,I'm close with my parents.,family,
56,Я скучаю по семье.,Ya skuchayu po semye.,I miss my family.,family,
57,Расскажи о своей семье.,Rasskazhi o svoyey semye.,Tell me about your family.,family,
58,У тебя есть братья или сёстры?,U tebya yest bratya ili syostry?,Do you have brothers or sisters?,family,
59,Я работаю программистом.,Ya rabotayu programmistom.,I work as a programmer.,work_dev,
60,Я пишу код каждый день.,Ya pishu kod kazhdyy den.,I write code every day.,work_dev,
61,Я работаю в офисе.,Ya rabotayu v ofise.,I work in an office.,work_dev,
62,Иногда работаю из дома.,Inogda rabotayu iz doma.,Sometimes I work from home.,work_dev,
63,У меня встреча в десять.,U menya vstrecha v desyat.,I have a meeting at ten.,work_dev,
64,Я делаю сайты.,Ya delayu sayty.,I make websites.,work_dev,
65,Сегодня было много работы.,Sevodnya bylo mnogo raboty.,There was a lot of work today.,work_dev,
66,Я люблю свою работу.,Ya lyublyu svoyu rabotu.,I love my work.,work_dev,
67,Я устал на работе.,Ya ustal na rabote.,I'm tired at work.,work_dev,
68,Я иду на обед.,Ya idu na obed.,I'm going to lunch.,work_dev,
69,У меня дедлайн.,U menya dedlayn.,I have a deadline.,work_dev,
70,Можно ещё чаю?,Mozhno yeshchyo chayu?,Can I have more tea?,food_restaurant,
71,Воды без газа пожалуйста.,Vody bez gaza pozhaluysta.,Still water please.,food_restaurant,
72,Я не ем свинину.,Ya ne yem svininu.,I don't eat pork.,food_restaurant,
73,Я мусульманин.,Ya musulmanin.,I'm Muslim.,food_restaurant,
74,Я не пью алкоголь.,Ya ne pyu alkogol.,I don't drink alcohol.,food_restaurant,
75,В этом блюде есть свинина?,V etom blyude yest svinina?,Is there pork in this dish?,food_restaurant,
76,Что вы посоветуете?,Chto vy posovetuyete?,What do you recommend?,food_restaurant,
77,Я возьму это.,Ya vozmu eto.,I'll take this.,food_restaurant,
78,Очень вкусно.,Ochen vkusno.,Very tasty.,food_restaurant,
79,Можно счёт пожалуйста?,Mozhno schyot pozhaluysta?,Can I have the bill please?,food_restaurant,
80,Здесь есть халяльная еда?,Zdes yest khalyalnaya yeda?,Is there halal food here?,food_restaurant,
81,Я хочу курицу.,Ya khochu kuritsu.,I want chicken.,food_restaurant,
82,Без сахара пожалуйста.,Bez sakhara pozhaluysta.,No sugar please.,food_restaurant,
83,Это очень остро.,Eto ochen ostro.,This is very spicy.,food_restaurant,
84,Я наелся.,Ya nayelsya.,I'm full.,food_restaurant,
85,Спасибо всё было прекрасно.,Spasibo vsyo bylo prekrasno.,Thanks everything was great.,food_restaurant,
86,Я люблю готовить.,Ya lyublyu gotovit.,I love to cook.,cooking_morocco,
87,Я готовлю марокканские блюда.,Ya gotovlyu marokkanskiye blyuda.,I cook Moroccan dishes.,cooking_morocco,
88,Тажин — наше национальное блюдо.,Tazhin — nashe natsionalnoye blyudo.,Tagine is our national dish.,cooking_morocco,
89,Я делаю кускус по выходным.,Ya delayu kuskus po vykhodnym.,I make couscous on weekends.,cooking_morocco,
90,Мы пьём мятный чай.,My pyom myatnyy chay.,We drink mint tea.,cooking_morocco,
91,Хочешь попробовать марокканскую кухню?,Khochesh poprobovat marokkanskuyu kukhnyu?,Want to try Moroccan cuisine?,cooking_morocco,
92,Я могу приготовить тебе тажин.,Ya mogu prigotovit tebe tazhin.,I can make tagine for you.,cooking_morocco,
93,Я ем курицу с рисом.,Ya yem kuritsu s risom.,I eat chicken with rice.,cooking_morocco,Gym food
94,На завтрак у меня яйца.,Na zavtrak u menya yaytsa.,I have eggs for breakfast.,cooking_morocco,
95,Я ем здоровую еду.,Ya yem zdorovuyu yedu.,I eat healthy food.,cooking_morocco,
96,Мне нужно много белка.,Mne nuzhno mnogo belka.,I need a lot of protein.,cooking_morocco,Gym
97,Я хожу в спортзал.,Ya khozhu v sportzal.,I go to the gym.,gym,
98,Я тренируюсь четыре раза в неделю.,Ya treniruyus chetyre raza v nedelyu.,I train four times a week.,gym,
99,Сегодня день ног.,Sevodnya den nog.,Today is leg day.,gym,
100,Завтра я тренирую грудь.,Zavtra ya treniruyu grud.,Tomorrow I train chest.,gym,
101,Я поднимаю тяжести.,Ya podnimayu tyazhesti.,I lift weights.,gym,
102,Я хочу набрать мышцы.,Ya khochu nabrat myshtsy.,I want to gain muscle.,gym,
103,У меня болят мышцы.,U menya bolyat myshtsy.,My muscles hurt.,gym,
104,Я делаю приседания.,Ya delayu prisedaniya.,I do squats.,gym,
105,Я делаю жим лёжа.,Ya delayu zhim lyozha.,I do bench press.,gym,
106,Я делаю становую тягу.,Ya delayu stanovuyu tyagu.,I do deadlifts.,gym,
107,Я ем протеин после тренировки.,Ya yem protein posle trenirovki.,I eat protein after training.,gym,
108,Спорт — моя страсть.,Sport — moya strast.,Sport is my passion.,gym,
109,Ты ходишь в зал?,Ty khodish v zal?,Do you go to the gym?,gym,
110,Я хочу остаться в форме.,Ya khochu ostatsya v forme.,I want to stay in shape.,gym,
111,Ты играешь в видеоигры?,Ty igrayesh v videoigry?,Do you play video games?,gaming_lol,
112,Я играю в Лигу Легенд.,Ya igrayu v Ligu Legend.,I play League of Legends.,gaming_lol,
113,Я играю иногда вечером.,Ya igrayu inogda vecherom.,I play sometimes in the evening.,gaming_lol,
114,Это моё единственное хобби.,Eto moyo yedinstvennoye khobbi.,It's my only hobby.,gaming_lol,
115,Ты играла когда-нибудь?,Ty igrala kogda-nibud?,Have you ever played?,gaming_lol,To a girl
116,Это сложная игра.,Eto slozhnaya igra.,It's a hard game.,gaming_lol,
117,Я играю с друзьями онлайн.,Ya igrayu s druzyami onlayn.,I play with friends online.,gaming_lol,
118,Хочешь сыграть со мной?,Khochesh sygrat so mnoy?,Want to play with me?,gaming_lol,
119,Где аэропорт?,Gde aeroport?,Where is the airport?,travel_basics,
120,Один билет до Москвы.,Odin bilet do Moskvy.,One ticket to Moscow.,travel_basics,
121,Сколько стоит?,Skolko stoit?,How much does it cost?,travel_basics,
122,Где ближайшее метро?,Gde blizhaysheye metro?,Where is the nearest metro?,travel_basics,
123,Как добраться до центра?,Kak dobratsya do tsentra?,How do I get to the center?,travel_basics,
124,Я заблудился.,Ya zabludilsya.,I'm lost.,travel_basics,
125,Я турист.,Ya turist.,I'm a tourist.,travel_basics,
126,Я здесь впервые.,Ya zdes vpervye.,I'm here for the first time.,travel_basics,
127,Можете говорить помедленнее?,Mozhete govorit pomedlenneye?,Can you speak slower?,travel_basics,
128,У меня бронь.,U menya bron.,I have a reservation.,travel_basics,
129,На какой этаж?,Na kakoy etazh?,What floor?,travel_basics,
130,Где туалет?,Gde tualet?,Where is the bathroom?,travel_basics,
131,Поверните налево.,Povernite nalevo.,Turn left.,travel_basics,
132,Поверните направо.,Povernite napravo.,Turn right.,travel_basics,
133,Прямо.,Pryamo.,Straight ahead.,travel_basics,
134,Сколько это стоит?,Skolko eto stoit?,How much is this?,shopping,
135,Можно посмотреть?,Mozhno posmotret?,Can I look?,shopping,
136,Это слишком дорого.,Eto slishkom dorogo.,That's too expensive.,shopping,
137,У вас есть размер больше?,U vas yest razmer bolshe?,Do you have a bigger size?,shopping,
138,Я подумаю.,Ya podumayu.,I'll think about it.,shopping,
139,Я возьму это.,Ya vozmu eto.,I'll take this.,shopping,
140,Где касса?,Gde kassa?,Where is the cashier?,shopping,
141,Можно оплатить картой?,Mozhno oplatit kartoy?,Can I pay by card?,shopping,
142,Где ты живёшь?,Gde ty zhivyosh?,Where do you live?,dating_questions,
143,Чем ты занимаешься?,Chem ty zanimayeshsya?,What do you do?,dating_questions,
144,Сколько тебе лет?,Skolko tebe let?,How old are you?,dating_questions,
145,Ты учишься или работаешь?,Ty uchishsya ili rabotayesh?,Do you study or work?,dating_questions,
146,Что ты любишь делать?,Chto ty lyubish delat?,What do you like to do?,dating_questions,
147,Какие у тебя хобби?,Kakiye u tebya khobbi?,What hobbies do you have?,dating_questions,
148,Какую музыку ты слушаешь?,Kakuyu muzyku ty slushayesh?,What music do you listen to?,dating_questions,
149,Ты любишь путешествовать?,Ty lyubish puteshestvovat?,Do you love to travel?,dating_questions,
150,Где ты родилась?,Gde ty rodilas?,Where were you born?,dating_questions,To a girl
151,У тебя есть братья или сёстры?,U tebya yest bratya ili syostry?,Do you have brothers or sisters?,dating_questions,
152,Какая твоя мечта?,Kakaya tvoya mechta?,What is your dream?,dating_questions,
153,Что для тебя важно в жизни?,Chto dlya tebya vazhno v zhizni?,What's important to you in life?,dating_questions,
154,Ты религиозная?,Ty religioznaya?,Are you religious?,dating_questions,To a girl
155,Хочешь когда-нибудь поехать в Марокко?,Khochesh kogda-nibud poyekhat v Marokko?,Would you ever want to go to Morocco?,dating_questions,
156,Что ты делаешь в свободное время?,Chto ty delayesh v svobodnoye vremya?,What do you do in your free time?,dating_questions,
157,Какая твоя любимая еда?,Kakaya tvoya lyubimaya yeda?,What's your favorite food?,dating_questions,
158,Ты много читаешь?,Ty mnogo chitayesh?,Do you read a lot?,dating_questions,
159,Расскажи о себе.,Rasskazhi o sebe.,Tell me about yourself.,dating_questions,
160,Я приехал в Россию ненадолго.,Ya priyekhal v Rossiyu nenadolgo.,I came to Russia for a short time.,dating_self,
161,Я хочу узнать Россию.,Ya khochu uznat Rossiyu.,I want to get to know Russia.,dating_self,
162,Я учу русский ради тебя.,Ya uchu russkiy radi tebya.,I'm learning Russian for you.,dating_self,
163,Я серьёзный человек.,Ya seryoznyy chelovek.,I'm a serious person.,dating_self,
164,Я ищу что-то настоящее.,Ya ishchu chto-to nastoyashcheye.,I'm looking for something real.,dating_self,
165,Я живу спокойной жизнью.,Ya zhivu spokoynoy zhiznyu.,I live a quiet life.,dating_self,
166,Я больше слушаю чем говорю.,Ya bolshe slushayu chem govoryu.,I listen more than I talk.,dating_self,
167,Я немного стеснительный.,Ya nemnogo stesnitelnyy.,I'm a little shy.,dating_self,
168,Я не пью и не курю.,Ya ne pyu i ne kuryu.,I don't drink or smoke.,dating_self,
169,Для меня важна семья.,Dlya menya vazhna semya.,Family is important to me.,dating_self,
170,Я хочу свою семью однажды.,Ya khochu svoyu semyu odnazhdy.,I want my own family one day.,dating_self,
171,Я честный человек.,Ya chestnyy chelovek.,I'm an honest person.,dating_self,
172,Я уважаю женщин.,Ya uvazhayu zhenshchin.,I respect women.,dating_self,
173,Я ищу настоящие чувства.,Ya ishchu nastoyashchiye chuvstva.,I'm looking for real feelings.,dating_self,
174,Ты красивая.,Ty krasivaya.,You are beautiful.,dating_romance,
175,Мне нравится твоя улыбка.,Mne nravitsya tvoya ulybka.,I love your smile.,dating_romance,
176,У тебя красивые глаза.,U tebya krasivye glaza.,You have beautiful eyes.,dating_romance,
177,Я думаю о тебе.,Ya dumayu o tebe.,I think about you.,dating_romance,
178,Я скучаю по тебе.,Ya skuchayu po tebe.,I miss you.,dating_romance,
179,Ты мне очень нравишься.,Ty mne ochen nravishsya.,I really like you.,dating_romance,
180,С тобой мне хорошо.,S toboy mne khorosho.,I feel good with you.,dating_romance,
181,Ты особенная.,Ty osobennaya.,You are special.,dating_romance,
182,Ты делаешь меня счастливым.,Ty delayesh menya schastlivym.,You make me happy.,dating_romance,
183,Я не могу перестать думать о тебе.,Ya ne mogu perestat dumat o tebe.,I can't stop thinking about you.,dating_romance,
184,Хочешь встретиться завтра?,Khochesh vstretitsya zavtra?,Want to meet tomorrow?,dating_romance,
185,Я хочу тебя увидеть.,Ya khochu tebya uvidet.,I want to see you.,dating_romance,
186,Спокойной ночи красавица.,Spokoynoy nochi krasavitsa.,Good night beautiful.,dating_romance,
187,Как прошёл твой день?,Kak proshyol tvoy den?,How was your day?,dating_romance,
188,Я хочу узнать тебя лучше.,Ya khochu uznat tebya luchshe.,I want to get to know you better.,dating_future,
189,Куда ты хочешь поехать со мной?,Kuda ty khochesh poyekhat so mnoy?,Where do you want to go with me?,dating_future,
190,Я хочу познакомиться с твоими родителями.,Ya khochu poznakomitsya s tvoimi roditelyami.,I want to meet your parents.,dating_future,
191,Я приеду снова.,Ya priyedu snova.,I will come back again.,dating_future,
192,Я серьёзно отношусь к тебе.,Ya seryozno otnoshus k tebe.,I'm serious about you.,dating_future,
193,Расстояние — это не проблема для меня.,Rasstoyaniye — eto ne problema dlya menya.,Distance is not a problem for me.,dating_future,
194,Мы можем созваниваться каждый день.,My mozhem sozvanivatsya kazhdyy den.,We can call each other every day.,dating_future,
195,Я не тороплюсь с тобой.,Ya ne toroplyus s toboy.,I'm not rushing with you.,dating_future,
196,Я хочу быть с тобой.,Ya khochu byt s toboy.,I want to be with you.,dating_future,
197,Какая сегодня погода?,Kakaya sevodnya pogoda?,What's the weather like today?,small_talk,
198,Сегодня холодно.,Sevodnya kholodno.,It's cold today.,small_talk,
199,Сегодня тепло.,Sevodnya teplo.,It's warm today.,small_talk,
200,Идёт дождь.,Idyot dozhd.,It's raining.,small_talk,
201,В Марокко всегда тепло.,V Marokko vsegda teplo.,It's always warm in Morocco.,small_talk,
202,Я никогда не видел снег.,Ya nikogda ne videl sneg.,I've never seen snow.,small_talk,
203,Какие у тебя планы на выходные?,Kakiye u tebya plany na vykhodnye?,What are your plans for the weekend?,small_talk,
204,Я просто отдыхаю.,Ya prosto otdykhayu.,I'm just resting.,small_talk,
205,Мне нравится.,Mne nravitsya.,I like it.,opinions_feelings,
206,Мне не нравится.,Mne ne nravitsya.,I don't like it.,opinions_feelings,
207,Я люблю это.,Ya lyublyu eto.,I love this.,opinions_feelings,
208,Я ненавижу холод.,Ya nenavizhu kholod.,I hate cold.,opinions_feelings,
209,Я думаю что да.,Ya dumayu chto da.,I think yes.,opinions_feelings,
210,Я не уверен.,Ya ne uveren.,I'm not sure.,opinions_feelings,
211,Это интересно.,Eto interesno.,That's interesting.,opinions_feelings,
212,Это смешно.,Eto smeshno.,That's funny.,opinions_feelings,
213,Я согласен.,Ya soglasen.,I agree.,opinions_feelings,
214,Я не согласен.,Ya ne soglasen.,I disagree.,opinions_feelings,
215,Я счастлив.,Ya schastliv.,I'm happy.,opinions_feelings,
216,Я грустный.,Ya grustnyy.,I'm sad.,opinions_feelings,
217,Помогите.,Pomogite.,Help.,needs_help,
218,Помоги мне пожалуйста.,Pomogi mne pozhaluysta.,Help me please.,needs_help,
219,Я потерял телефон.,Ya poteryal telefon.,I lost my phone.,needs_help,
220,Где я могу обменять деньги?,Gde ya mogu obmenyat dengi?,Where can I exchange money?,needs_help,
221,Где банкомат?,Gde bankomat?,Where is an ATM?,needs_help,
222,Я не говорю по-русски хорошо.,Ya ne govoryu po-russki khorosho.,I don't speak Russian well.,needs_help,
223,Вы говорите по-английски?,Vy govorite po-angliyski?,Do you speak English?,needs_help,
224,Можете повторить?,Mozhete povtorit?,Can you repeat?,needs_help,
225,Напишите пожалуйста.,Napishite pozhaluysta.,Write it down please.,needs_help,
226,Я устал.,Ya ustal.,I'm tired.,health_body,
227,У меня болит голова.,U menya bolit golova.,My head hurts.,health_body,
228,Мне нужна вода.,Mne nuzhna voda.,I need water.,health_body,
229,Я не очень хорошо себя чувствую.,Ya ne ochen khorosho sebya chuvstvuyu.,I don't feel great.,health_body,
230,Мне нужно отдохнуть.,Mne nuzhno otdokhnut.,I need to rest.,health_body,
231,Я хочу спать.,Ya khochu spat.,I want to sleep.,health_body,
232,После зала всё болит.,Posle zala vsyo bolit.,Everything hurts after the gym.,health_body,
233,Марокко на севере Африки.,Marokko na severe Afriki.,Morocco is in north Africa.,culture_morocco,
234,У нас тепло круглый год.,U nas teplo kruglyy god.,We have warm weather all year.,culture_morocco,
235,Мы говорим по-арабски.,My govorim po-arabski.,We speak Arabic.,culture_morocco,
236,Наша кухня очень вкусная.,Nasha kukhnya ochen vkusnaya.,Our cuisine is very tasty.,culture_morocco,
237,У нас много гор и моря.,U nas mnogo gor i morya.,We have many mountains and the sea.,culture_morocco,
238,Семья для нас очень важна.,Semya dlya nas ochen vazhna.,Family is very important to us.,culture_morocco,
239,Я могу показать тебе Марокко.,Ya mogu pokazat tebe Marokko.,I can show you Morocco.,culture_morocco,
240,Нет спасибо.,Nyet spasibo.,No thank you.,polite_refusals,
241,Я не пью.,Ya ne pyu.,I don't drink.,polite_refusals,
242,Только воду пожалуйста.,Tolko vodu pozhaluysta.,Just water please.,polite_refusals,
243,Я не курю.,Ya ne kuryu.,I don't smoke.,polite_refusals,
244,Это не для меня.,Eto ne dlya menya.,That's not for me.,polite_refusals,
245,Может быть в другой раз.,Mozhet byt v drugoy raz.,Maybe another time.,polite_refusals,
246,Извини я не могу.,Izvini ya ne mogu.,Sorry I can't.,polite_refusals,
247,Спасибо но нет.,Spasibo no nyet.,Thanks but no.,polite_refusals,
248,Напиши мне.,Napishi mne.,Text me.,phone_messaging,
249,Я тебе позвоню.,Ya tebe pozvonyu.,I'll call you.,phone_messaging,
250,Скинь голосовое.,Skin golosovoye.,Send a voice message.,phone_messaging,
251,У меня нет связи.,U menya nyet svyazi.,I have no signal.,phone_messaging,
252,Какой у тебя номер?,Kakoy u tebya nomer?,What's your number?,phone_messaging,
253,У тебя есть телеграм?,U tebya yest telegram?,Do you have Telegram?,phone_messaging,
254,Я тебе напишу позже.,Ya tebe napishu pozzhe.,I'll text you later.,phone_messaging,
255,Перезвони мне.,Perezvoni mne.,Call me back.,phone_messaging,
